"score","text","sentiment"
0,"b'@PMOIndia @narendramodi My amount of Rs1389 might be small, which @Paytm has kept blocked, the reason of which show\xe2\x80\xa6 https://t.co/hekjCVwbSJ'","neutral"
0,"b'@PaytmMall @Paytmcare @Paytm @paytmmallcare \n@vijayshekhar pagal samaj raakha hai ek kaam nahe hoo paa raha tum sab\xe2\x80\xa6 https://t.co/WIiRBlPY6n'","neutral"
-1,"b""@PMOIndia @narendramodi @Paytm service is fully playing with people's money. Here is attached all complaints and th\xe2\x80\xa6 https://t.co/RkiArJjAdo""","negative"
1,"b'@MobiKwik We will go cashless with other companies like @Paytm @FreeCharge @PhonePe_  but not with you bc'","positive"
0,"b'@thebharatseva @paytmbankcare @Paytm @PaytmBank @Paytmcare @vijayshekhar @One97 @renusatti @PMOIndia\xe2\x80\xa6 https://t.co/rcSFugeKrS'","neutral"
0,"b""We are doing serious stuff in a very entertaining way. You don't wanna miss the chance to become a part of it. Book\xe2\x80\xa6 https://t.co/c5HzOiDi7g""","neutral"
2,"b'@vijayshekhar What are the better alternatives to @Paytm?\n\nI think @PhonePe_ &amp; @TezbyGoogle provide far better expe\xe2\x80\xa6 https://t.co/1m5S2ekgsE'","positive"
-3,"b'@MobiKwikSWAT Stupid people u ask to DM and then bother to reply what fraud dynamic policies on supercash usage kee\xe2\x80\xa6 https://t.co/CMytf0qC41'","negative"
-1,"b'@Paytm @Paytmcare fraud bank'","negative"
0,"b'@Paytm I added 505rs to my account two times and both the times money deducted from my account and when i opened pa\xe2\x80\xa6 https://t.co/SQnVo9febS'","neutral"
2,"b""Corporate PR: Value 360 Communications wins Silver for 'The Indian Global Company - Leading a financial revolution'\xe2\x80\xa6 https://t.co/F97Jxi0AZ5""","positive"
1,"b""@Paytmcare @Paytm god knows what you guys are doing! But it better something more than just wasting time as it's be\xe2\x80\xa6 https://t.co/KWLieJR31e""","positive"
1,"b""Financial PR: Value 360 Communications strikes Gold at the #Abbys2018 for their 'Paytm Payment Bank \xe2\x80\x93 Dawn of a new\xe2\x80\xa6 https://t.co/kRbNjmLxqU""","positive"
-1,"b'@shivanshgarg7 @Paytm @Paytmcare @PaytmBank even I feel total BS when it comes to automated replies, a regular cust\xe2\x80\xa6 https://t.co/SAnVmRpBBu'","negative"
0,"b'@paytmmallcare @vijayshekhar @paytm #paytmsucks #paytmmatkaro #horriblecustomerservice #DigitalBanking\xe2\x80\xa6 https://t.co/k7u2sUiuJm'","neutral"
0,"b'@Vikramjha320 @Paytmcare @Paytm @PaytmMall \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80'","neutral"
0,"b'Why 3% extra when we transfer money from wallet to paytm payment bank account? \nIf so then what is the use of havin\xe2\x80\xa6 https://t.co/5Gl2mI69Zn'","neutral"
1,"b'@paytm @Paytmcare  Please help me!! My cashback of \xe2\x82\xb950 was refunded back.'","positive"
0,"b'@vijayshekhar @paytm #paytmsucks #paytmmatkaro #horriblecustomerservice #digitalmoney\nGet a call from a person at 2\xe2\x80\xa6 https://t.co/erNWk7CURN'","neutral"
1,"b'@Paytm new app update is not good. I am facing slowness issues while making payments. Also the payment good failed\xe2\x80\xa6 https://t.co/xaBjbIZcxS'","positive"
0,"b""@shantanub @ranjona @Paytm Why anybody needs to use it. It's just making money at our cost.""","neutral"
0,"b'@paytmmallcare @vijayshekhar @Paytm @vijaysjekhar #paytmmatkaro #paytmsucks #horriblecustomerservice #digitalmoney\xe2\x80\xa6 https://t.co/SW2pmlixLE'","neutral"
0,"b'@TheDesiEdge Now #PNB wishes that why they didn\xe2\x80\x99t deposited their money in @Paytm \xf0\x9f\x98\xb9\xf0\x9f\x9a\xa9'","neutral"
0,"b'@BCCIWomen @Paytm Amazing victory   \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'","neutral"
0,"b'@Paytm @Paytmcare One of my friend is unable to reset his paytm password as he forgot that. He tried to call 012038\xe2\x80\xa6 https://t.co/RCz4JP5V2o'","neutral"
2,"b""@Paytm  \nI had done kyc process for #Paytm 2 days ago but didn't get cashback. There is no customer care support to answer it.""","positive"
0,"b""India's first! We are doing some very serious stuff in a hardcore entertaining way. Don't miss the chance to become\xe2\x80\xa6 https://t.co/jv8ZIgpZDD""","neutral"
-2,"b'@Paytm Paytm@Care    tragic no reply.This is definitely not CC. My grievance is I HV lost details of my acct and 60\xe2\x80\xa6 https://t.co/YhlaCKbIgy'","negative"
-1,"b'No aadhar, no kyc in paytm, other documents are useless as it cant be verified.@Paytmcare @Paytm @ShaileshSana @_DigitalIndia'","negative"
0,"b'#Paytm @Paytm @Paytmcare @RBI  Paytm walo chor ho tum \n.pese kaat liye mere'","neutral"
0,"b'@Paytmcare Kindly help with doorstep KYC completion instead of paying to PayTM outlet. I hope it is easy for @Paytm @Paytmcare'","neutral"
0,"b'Now you can pay all your #LIC renewal premium through @Paytm'","neutral"
1,"b'@SankalpDikshit @_ShankarNath @Paytm Pleasure was entirely ours. All the best for your future plans.'","positive"
0,"b'@money_bhaskar @PaytmBank @Paytm @PaytmMall @renusatti Superlyk #Waytogo #Paytm_karo'","neutral"
2,"b'@Paytmcare i want instant resolution. I dont have enough time like you and your company @vijayshekhar @Paytm'","positive"
-1,"b'@Paytmcare how much years you will take to resolve my issue...if you cant serve your customers then please shut dow\xe2\x80\xa6 https://t.co/YccBBFHwDX'","negative"
-1,"b""@BCCIWomen @BCCI_Women @Paytm No Live Matches On Tv. What's Happening? Is it Justified?  Please""","negative"
-1,"b'@Paytmcare @Paytm  my Order #4894788040 of Canon PIXMA G3000 Is delayed. Not happy with your service. @delhivery co\xe2\x80\xa6 https://t.co/CAj4NluRz6'","negative"
0,"b'Loved the new look of #Paytm. @Paytm @Paytmcare \nGuys u r awesome gateway... https://t.co/9liWwfTqQ8'","neutral"
1,"b'@SPSrivastav1986 @vijayshekhar @Paytm @PaytmBank @renusatti It doesn\xe2\x80\x99t work at half of the atms ! Wasted my 120rs. #lol #paytm'","positive"
0,"b'@Paytm ...i didnt get my wallet balance after reinstalling ur app...plz pay attention to this'","neutral"
0,"b'I added money from my debit card ,money is debited from my bank account but did not added in my paytm wallet . kind\xe2\x80\xa6 https://t.co/vMvZsS2L9w'","neutral"
-1,"b'@Paytm @Paytmcare PAYTM FRAUD have taken place at IRTC WALLET..\nReference numbers\norder id...100001196493905 for Rs\xe2\x80\xa6 https://t.co/Vu16VC9V9x'","negative"
3,"b'Here is for the winners! Congratulations team @Paytm for winning Abby awards \xe2\x9c\x8c\xf0\x9f\x8f\xbb https://t.co/fJFraHjlpO'","positive"
0,"b'@uttamrajak1601 @Paytm @vijayshekhar minimal is exactly what I wanted'","neutral"
0,"b'@Paytm @Paytmcare @vijayshekhar waiting from 15 minuets but no update and your customer service is also very poor.\xe2\x80\xa6 https://t.co/gVMilpBrpx'","neutral"
-1,"b'@Paytm @Paytmcare really disappointed with your services. Money deducted from my bank account but not added in paytm wallet..@vijayshekhar'","negative"
1,"b'Met @_ShankarNath, Sr. VP, Paytm and @Jas_Kapany, VP, Marketing, Paytm.\nIt is supremely thrilling to interact with\xe2\x80\xa6 https://t.co/ceyHi2MOpO'","positive"
-1,"b'@Paytmcare \n@Paytm \n@vijayshekhar \nPlease update my Paytm wallet immediately without fail else I need to go for leg\xe2\x80\xa6 https://t.co/eaQ79BZ8lj'","negative"
1,"b'Dear @Paytm , I transferred 400 Rs. to someone, transaction was successful, amount debited from my bank account but\xe2\x80\xa6 https://t.co/R3ZrwBbRky'","positive"
-1,"b'@Paytm \n@vijayshekhar \nPlease update my Paytm wallet immediately without fail else I need to go for legal action ag\xe2\x80\xa6 https://t.co/Be0sBOuaAN'","negative"
-1,"b'@Paytmcare @Paytm please provide the address of a kyc center near pitampura, new delhi (or rohini/shalimar bagh), w\xe2\x80\xa6 https://t.co/DP5bR4aSiT'","negative"
0,"b'Okay @Paytm but:\n1. What does that even mean?\n2. Why did you do it w/o me asking for it?\n@Paytmcare https://t.co/J04ETU4S8J'","neutral"
-1,"b'@Paytm Such a worst app@Paytm is.i earlier transferred my paytm wallet balance to paytm payments bank without\xe2\x80\xa6 https://t.co/8QSFyf7Sy8'","negative"
0,"b'@Paytm @Paytmcare\nAgent at srisha technology is asking money for KYC verification claiming its what they have been\xe2\x80\xa6 https://t.co/KsBWWhiPzv'","neutral"
0,"b'@prayatna_fac @savesmilees @hareesh_9999 @Deepikaa123 @vatsann @kishorev1988 @pratyusha @Urs_BRK @Abhishekboss2\xe2\x80\xa6 https://t.co/2m6T3OO8J2'","neutral"
0,"b'.@Paytm to launch a dedicated app for investing in #mutualfunds\nhttps://t.co/cQdTlCoVT9'","neutral"
0,"b'@Paytm what is your problem?why are you causing this inconvenience to us? No money transfer, no kyc update, no Cent\xe2\x80\xa6 https://t.co/DU3dNgTGoI'","neutral"
-1,"b'@nirupamroy @Paytmcare @Paytm Same problems but issue not solved \n9810686171'","negative"
0,"b'@Paytm mera 666 rs ka b s n l recharge kiye the.recharge cancil ho gya..Par paisa cut gya aur abhi tk nahi aaya kya kru?'","neutral"
0,"b'@Paytm @Paytmcare Why you guys hv double standards?!? You don\xe2\x80\x99t ask my kyc when I hv to add the money in ur wallet\xe2\x80\xa6 https://t.co/grMgriVjqC'","neutral"
-2,"b'@paytm @Paytmcare Due to failed transactions by paying through Debit card via Paytm, my money got stuck in Paytm Wa\xe2\x80\xa6 https://t.co/wvpXtmPzyb'","negative"
0,"b'@SPSrivastav1986 @PaytmBank @Paytm @vijayshekhar @renusatti what is thi paytm..\n i am not use code recharge other n\xe2\x80\xa6 https://t.co/bfjg83shed'","neutral"
0,"b'@Paytm are bhaio paytm se bachke rehna thode se lalach ke chakkar me kabhi bhi merchant account mat banana mene ban\xe2\x80\xa6 https://t.co/CUCM2eIe1g'","neutral"
0,"b""@Paytm \nWhat is going app to your app? I'm continously trying to login my account from 1 hour but it showing error?\xe2\x80\xa6 https://t.co/yeERe1JU3q""","neutral"
0,"b""@Paytmcare @Paytm I gave you my contact no.&amp; mail id yesterday then you didn't do anything.will you give me cash ba\xe2\x80\xa6 https://t.co/D8HBZmb0eJ""","neutral"
0,"b""I added money from debit card, the money is debited from my account my did not added in paytm wallet.i don't know h\xe2\x80\xa6 https://t.co/ZgIC2V9Stp""","neutral"
0,"b'Dear sir \n Mene abhi abhi apne paytm me 2000 add kiye they confurm nhe hua or mere account se 2000 debits ho gaye p\xe2\x80\xa6 https://t.co/lcRusYLGWx'","neutral"
0,"b'@LAVGUPTABIHIYA @Paytm @PaytmBank @PaytmTravel @vijayshekhar @Paytmcare no care'","neutral"
0,"b'@Paytm why you down? https://t.co/rOd1IVx2Rj'","neutral"
0,"b'@shantanub @Paytm When I last tried to pay my electricity bill the site would only accept payment by card  via Payt\xe2\x80\xa6 https://t.co/imxOvXB8hf'","neutral"
0,"b'@vijayshekhar @PaytmMall @amitsins @Paytm still i am facing number update \nwhat happened paytm now becomes slightly\xe2\x80\xa6 https://t.co/P3MluqWYoJ'","neutral"
-1,"b""@vijayshekhar @one_by_two I can't login my paytm wallet ... Showing some error.... Please work on it. My app up to\xe2\x80\xa6 https://t.co/WLf1dxlpP4""","negative"
0,"b'@Paytm any response?'","neutral"
-1,"b'@Paytm I am not able to login. What hell is this? @vijayshekhar https://t.co/CmAAd9YgRn'","negative"
0,"b'@imbevda @Paytm @Paytmcare Guys from @Paytm atleast respond to your client....asap! A solution is needed when the p\xe2\x80\xa6 https://t.co/YEfovBnakg'","neutral"
0,"b'Not able to login to paytm account from past 20 minutes.. @Paytm'","neutral"
1,"b'Hera the other...&amp; i have all call recording....&amp;.... email...what @PhonePe_ customer support say...fake promise...\xe2\x80\xa6 https://t.co/DezyQpu6O5'","positive"
0,"b'@Paytm'","neutral"
0,"b""@PaytmMall @Paytmcare @Paytm . I didn't expect this from paytm service .I have dropped many message but no reply.""","neutral"
1,"b'@Paytm Paytm is Not Working ??? https://t.co/Qtje5oOI4s'","positive"
0,"b'Hi @Paytm, please advise on steps to permanently delete my #Paytm account. Thanks!'","neutral"
0,"b'@Paytm @Paytmcare Update my KYC till tomorrow or else give me my money back.\n\n\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0'","neutral"
-2,"b'@Paytm @Paytmcare still i am facing number update problem \nur worst customer care in india https://t.co/cWxQrjaejQ'","negative"
0,"b'@paytm karo :) https://t.co/S6fBfHBmGh'","neutral"
0,"b'@BipinSingh As someone who has been tricked by @MobiKwik many a time I find your tweet to be written in pure frustr\xe2\x80\xa6 https://t.co/qsYHNcOdgv'","neutral"
-1,"b'@Paytm @Paytmcare Hopeless and Pathetic way of giving false hopes. I was waiting like fools from 1 week and no one\xe2\x80\xa6 https://t.co/BzWn0ZIfvC'","negative"
0,"b'Why u changed 3% for while transferred my @Paytm wallet to bank account.Iam already completed KYC .As per ur rules,\xe2\x80\xa6 https://t.co/lBY1p7oPYq'","neutral"
-1,"b'@Paytm @Paytmcare You guys are expert in making the customer look fool. Wating for your executive since 1 week for\xe2\x80\xa6 https://t.co/YdEjIHahCv'","negative"
0,"b'@Paytmcare @PaytmMall @Paytm\n#Paytm \n01133996699\n01133776677\n0120 388 8388\n\nLet us know from which number we can re\xe2\x80\xa6 https://t.co/lIEcLEKPMu'","neutral"
-1,"b'@Paytm @Paytmcare Hi paytm, please provide the official business contact/email details, where i can send the Busine\xe2\x80\xa6 https://t.co/jm0KxvXcW7'","negative"
0,"b'Is @Paytm down..trying logging in for past half hour that too from 3 diff phones. @Paytmcare https://t.co/OnsHz491WP'","neutral"
1,"b'@SPSrivastav1986 @vijayshekhar @Paytm @PaytmBank @renusatti @vijayshekhar sir im still waiting 4r my refund 4rm\xe2\x80\xa6 https://t.co/8QdfDculjP'","positive"
0,"b'@Paytm @Paytmcare bhai ye kab chalu hoga?? https://t.co/TNpD2XBYAD'","neutral"
0,"b""@Paytm trying to reach on customer services from 1 hour, got 4 different numbers but can't reach any representative\xe2\x80\xa6 https://t.co/ytHMyygb5C""","neutral"
-1,"b'@Paytm  please fix the issue https://t.co/m7bXHaLQhE'","negative"
0,"b'@Rahul_Dogra @Paytm @Paytmcare Na bhai its not working..they have loosed investment'","neutral"
-1,"b'@paytm 9274031231 is number pe to call hi mat krna uske liye 7574841140 ke call karna koi jankari ke liye. Please i\xe2\x80\xa6 https://t.co/GklEPhVtmQ'","negative"
-1,"b'#paytm not responding. Dont know why??? Seems as if after #DefenceMinistry website they arr trying to hack #Paytm too\xf0\x9f\x98\x82\xf0\x9f\x98\x82 @Paytm @Paytmcare'","negative"
-2,"b'You fucking dolts @Paytm @Paytmcare your servers are shit and app even more shit..unable to use my own money in my\xe2\x80\xa6 https://t.co/RCVlGBMTZJ'","negative"
0,"b'@Paytm plans a major push in the #FinancialServices sector by launching services including mutual funds, general in\xe2\x80\xa6 https://t.co/mcziEtsYwd'","neutral"
0,"b'@Paytm aap log daily mere number 9274031231 pe call kar rahe ho paytm kyc ke liye. Mene kitni bar bola hai ki mere\xe2\x80\xa6 https://t.co/JaR2wEws4a'","neutral"
0,"b'@Cashify_ informed CC abt missing referral benefit, however no resolution provided. Opposite party got xtra benefit\xe2\x80\xa6 https://t.co/BHOjOjPCG5'","neutral"
0,"b'@Paytm @Paytmcare  Order no : 4882061756. Already mailed and called many times. Still at same place. No solution pr\xe2\x80\xa6 https://t.co/gdr9XG4dzd'","neutral"
1,"b'@Paytm  any update on my order no. :4882061756. Or, you do not want to do it. No, perfect reply from you.'","positive"
-2,"b'@Paytm it\xe2\x80\x99s reference transaction id 808514182103 please help @ICICIBank to get my problem resolved @ICICIBank_Care'","negative"
0,"b""I'm not received otp @Paytmcare @Paytm https://t.co/cO0Mb8GyNe""","neutral"
0,"b'Today I had gone for Paytm KYC at R-149, Ramdas Swamy Marg, Sector 4, Airoli, Navi Mumbai, Maharashtra 400708 which\xe2\x80\xa6 https://t.co/GMyM4fVHB8'","neutral"
-1,"b'@Paytm  can you guys please look into my query ref no - 59466201 ? These is no response on it today.'","negative"
2,"b'My cashback Rs. 5&amp;12 not send my account Paytm not good app @Paytm @Paytmcare @PaytmMall https://t.co/vu5neTflpN'","positive"
0,"b'@Paytm I didn\xe2\x80\x99t get any response on this even I replied to your mail also why you guys are so irresponsible to reso\xe2\x80\xa6 https://t.co/chwmMWUBj2'","neutral"
1,"b'@BCCI @Paytm Must win.'","positive"
-1,"b'@Paytm the fraud bank....paytmbank'","negative"
1,"b'@Paytmcare @BipinSingh @MobiKwik @MobiKwikSWAT Thanks @Paytm , My tweet was mainly addressed to mobikwik as they ke\xe2\x80\xa6 https://t.co/m8Giv8HKNd'","positive"
0,"b'@Paytm Today I had gone to @Paytm for KYC in R-149, Ramdas Swamy Marg, Sector 4, Airoli, Navi Mumbai, Maharashtra 4\xe2\x80\xa6 https://t.co/huPJchL88V'","neutral"
0,"b'@BCCIWomen @Paytm Kis channel pe aata hai live match?'","neutral"
1,"b'@SPSrivastav1986 @vijayshekhar @Paytm @PaytmBank @renusatti You paid 120 bucks for that. What is so nice about a ba\xe2\x80\xa6 https://t.co/ARwOgrbjjp'","positive"
-1,"b'@paytm really disgusting told me that we will reach you no call back nothing'","negative"
1,"b""@Paytmcare No leave it... I've uninstalled PayTM...it was really a nice time with you guys... I've been using\xe2\x80\xa6 https://t.co/oX7UxHr1gI""","positive"
0,"b'@Paytm in your mega sale madhur sugar cost 295 and @amazonIN normally it is sold for 202. Do let me know if there i\xe2\x80\xa6 https://t.co/sJlKxx0XRQ'","neutral"
2,"b'i paid by upi and eligible to get rs 30 cashback 4878989501 and 4875366209. I am not getting cashback for these orders @Paytmcare @Paytm'","positive"
1,"b'@mjainrock @vijayshekhar @Paytm @PaytmBank U can check all ur activites and transactions on well maintained @paytm\xe2\x80\xa6 https://t.co/yNMQXHnhgk'","positive"
-1,"b'@PaytmBank @Paytm Please add @OnePlus_IN  products on @Paytm'","negative"
0,"b""@Paytm it's been more then 4 months, tired of contacting paytm abt kyc, changed city changed number a year before,\xe2\x80\xa6 https://t.co/wLFnRueaiO""","neutral"
